# cycle	pc	r0	r1	r2	r3	r4	r5	r6	r7	pin_out	pin_oe
530	7	85	7	0	0	0	0	0	0	1	1
531	7	85	7	0	0	0	0	0	0	1	1
532	7	85	7	0	0	0	0	0	0	1	1
533	7	85	7	0	0	0	0	0	0	1	1
534	7	85	7	0	0	0	0	0	0	1	1
535	7	85	7	0	0	0	0	0	0	1	1
536	7	85	7	0	0	0	0	0	0	1	1
537	7	85	7	0	0	0	0	0	0	1	1
538	7	85	7	0	0	0	0	0	0	1	1
539	7	85	7	0	0	0	0	0	0	1	1
540	7	85	7	0	0	0	0	0	0	1	1
541	7	85	7	0	0	0	0	0	0	1	1
542	7	85	7	0	0	0	0	0	0	1	1
543	7	85	7	0	0	0	0	0	0	1	1
544	7	85	7	0	0	0	0	0	0	1	1
545	7	85	7	0	0	0	0	0	0	1	1
546	7	85	7	0	0	0	0	0	0	1	1
547	7	85	7	0	0	0	0	0	0	1	1
548	7	85	7	0	0	0	0	0	0	1	1
549	7	85	7	0	0	0	0	0	0	1	1
550	7	85	7	0	0	0	0	0	0	1	1
551	7	85	7	0	0	0	0	0	0	1	1
552	7	85	7	0	0	0	0	0	0	1	1
553	7	85	7	0	0	0	0	0	0	1	1
554	7	85	7	0	0	0	0	0	0	1	1
555	7	85	7	0	0	0	0	0	0	1	1
556	7	85	7	0	0	0	0	0	0	1	1
557	7	85	7	0	0	0	0	0	0	1	1
558	7	85	7	0	0	0	0	0	0	1	1
559	7	85	7	0	0	0	0	0	0	1	1
560	7	85	7	0	0	0	0	0	0	1	1
561	7	85	7	0	0	0	0	0	0	1	1
562	7	85	7	0	0	0	0	0	0	1	1
563	7	85	7	0	0	0	0	0	0	1	1
564	7	85	7	0	0	0	0	0	0	1	1
565	7	85	7	0	0	0	0	0	0	1	1
566	7	85	7	0	0	0	0	0	0	1	1
567	7	85	7	0	0	0	0	0	0	1	1
568	7	85	7	0	0	0	0	0	0	1	1
569	7	85	7	0	0	0	0	0	0	1	1
570	7	85	7	0	0	0	0	0	0	1	1
571	7	85	7	0	0	0	0	0	0	1	1
